,Unnamed: 0,Unnamed: 0.1,path,participant_id,sequence_id,sign
32,52,692,train_landmark_files/2044/10293515.parquet,2044,10293515,all
421,732,8904,train_landmark_files/2044/13689786.parquet,2044,13689786,yes
461,802,9857,train_landmark_files/2044/14070914.parquet,2044,14070914,open
591,1031,12140,train_landmark_files/2044/14994870.parquet,2044,14994870,yesterday
773,1334,15336,train_landmark_files/2044/16328084.parquet,2044,16328084,empty
906,1563,18243,train_landmark_files/2044/17526874.parquet,2044,17526874,dog
981,1686,19798,train_landmark_files/2044/18171787.parquet,2044,18171787,stairs
1053,1822,21259,train_landmark_files/2044/18763303.parquet,2044,18763303,sleep
1256,2194,25201,train_landmark_files/2044/20392307.parquet,2044,20392307,hate
1674,2909,33277,train_landmark_files/2044/23631043.parquet,2044,23631043,fine
1807,3144,36051,train_landmark_files/2044/24748300.parquet,2044,24748300,touch
1874,3270,37824,train_landmark_files/2044/25477679.parquet,2044,25477679,pretty
1959,3435,39904,train_landmark_files/2044/26326177.parquet,2044,26326177,backyard
2087,3660,42357,train_landmark_files/2044/27324977.parquet,2044,27324977,please
2611,4516,51962,train_landmark_files/2044/3127189.parquet,2044,3127189,eye
2644,4576,52725,train_landmark_files/2044/31571477.parquet,2044,31571477,duck
2659,4595,53049,train_landmark_files/2044/3169289.parquet,2044,3169289,on
2666,4607,53180,train_landmark_files/2044/31751651.parquet,2044,31751651,nap
2976,5152,59457,train_landmark_files/2044/34352417.parquet,2044,34352417,clown
3186,5528,63495,train_landmark_files/2044/36032215.parquet,2044,36032215,no
3261,5665,64951,train_landmark_files/2044/3661665.parquet,2044,3661665,morning
3262,5666,64968,train_landmark_files/2044/3662213.parquet,2044,3662213,grass
3276,5685,65203,train_landmark_files/2044/36732609.parquet,2044,36732609,lips
3338,5784,66380,train_landmark_files/2044/37206737.parquet,2044,37206737,chocolate
3561,6155,70310,train_landmark_files/2044/38821496.parquet,2044,38821496,helicopter
3889,6722,76935,train_landmark_files/2044/41493269.parquet,2044,41493269,drawer
3969,6870,78751,train_landmark_files/2044/42232713.parquet,2044,42232713,happy
4059,7025,80398,train_landmark_files/2044/4290441667.parquet,2044,4290441667,say
4060,7026,80416,train_landmark_files/2044/4291269336.parquet,2044,4291269336,finger
4061,7029,80441,train_landmark_files/2044/4292153505.parquet,2044,4292153505,drawer
4062,7030,80452,train_landmark_files/2044/4292480695.parquet,2044,4292480695,pajamas
4063,7031,80453,train_landmark_files/2044/4292514671.parquet,2044,4292514671,boy
4064,7033,80471,train_landmark_files/2044/4293255077.parquet,2044,4293255077,tongue
4065,7035,80497,train_landmark_files/2044/4294239754.parquet,2044,4294239754,fall
4066,7036,80511,train_landmark_files/2044/4294708045.parquet,2044,4294708045,wet
4070,7045,80692,train_landmark_files/2044/43577747.parquet,2044,43577747,not
4078,7053,80734,train_landmark_files/2044/43729084.parquet,2044,43729084,radio
4079,7054,80735,train_landmark_files/2044/43733510.parquet,2044,43733510,happy
4080,7055,80740,train_landmark_files/2044/43767686.parquet,2044,43767686,not
4112,7105,81543,train_landmark_files/2044/4693753.parquet,2044,4693753,orange
4122,7121,81719,train_landmark_files/2044/47671527.parquet,2044,47671527,shhh
4131,7139,81894,train_landmark_files/2044/48344923.parquet,2044,48344923,any
4150,7163,82160,train_landmark_files/2044/49344827.parquet,2044,49344827,on
4153,7168,82206,train_landmark_files/2044/49574035.parquet,2044,49574035,tree
4167,7191,82415,train_landmark_files/2044/50478386.parquet,2044,50478386,zebra
4192,7244,82917,train_landmark_files/2044/52609563.parquet,2044,52609563,outside
4204,7263,83112,train_landmark_files/2044/53406602.parquet,2044,53406602,vacuum
4213,7282,83323,train_landmark_files/2044/54371240.parquet,2044,54371240,weus
4218,7291,83481,train_landmark_files/2044/54936239.parquet,2044,54936239,sad
4255,7347,84067,train_landmark_files/2044/57224678.parquet,2044,57224678,pretend
4262,7360,84221,train_landmark_files/2044/57870861.parquet,2044,57870861,why
4271,7372,84330,train_landmark_files/2044/58302305.parquet,2044,58302305,TV
4278,7381,84466,train_landmark_files/2044/58958843.parquet,2044,58958843,old
4298,7410,84832,train_landmark_files/2044/60430865.parquet,2044,60430865,haveto
4312,7431,85112,train_landmark_files/2044/61603274.parquet,2044,61603274,airplane
4314,7433,85117,train_landmark_files/2044/61620432.parquet,2044,61620432,fish
4318,7437,85164,train_landmark_files/2044/61815124.parquet,2044,61815124,because
4339,7480,85625,train_landmark_files/2044/635217.parquet,2044,635217,brother
4489,7733,88480,train_landmark_files/2044/7508549.parquet,2044,7508549,ride
4496,7744,88590,train_landmark_files/2044/7549815.parquet,2044,7549815,there
4536,7808,89251,train_landmark_files/2044/7823557.parquet,2044,7823557,please
4572,7877,89913,train_landmark_files/2044/8088961.parquet,2044,8088961,chocolate
4607,7940,90432,train_landmark_files/2044/8315087.parquet,2044,8315087,bath
4708,8127,92323,train_landmark_files/2044/9110306.parquet,2044,9110306,on
